Para la k 5 la media cuadrada de los errores es: 0.736773
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 11 19 jaccard sm 0.59 jaccard directo 0.334012 error relativo 0.7664
 documentos 12 13 jaccard sm 0.48 jaccard directo 0.250951 error relativo 0.912724
 documentos 12 14 jaccard sm 0.46 jaccard directo 0.237624 error relativo 0.935829
 documentos 12 15 jaccard sm 0.51 jaccard directo 0.313765 error relativo 0.625417
 documentos 12 16 jaccard sm 0.46 jaccard directo 0.282732 error relativo 0.626978
 documentos 12 17 jaccard sm 0.54 jaccard directo 0.304519 error relativo 0.773288
 documentos 12 18 jaccard sm 0.52 jaccard directo 0.271347 error relativo 0.91636
 documentos 12 19 jaccard sm 0.47 jaccard directo 0.268924 error relativo 0.747701
 documentos 13 14 jaccard sm 0.55 jaccard directo 0.238748 error relativo 1.30368
 documentos 13 15 jaccard sm 0.54 jaccard directo 0.316633 error relativo 0.705441
 documentos 13 16 jaccard sm 0.55 jaccard directo 0.310345 error relativo 0.77222
 documentos 13 17 jaccard sm 0.55 jaccard directo 0.357576 error relativo 0.538134
 documentos 13 18 jaccard sm 0.6 jaccard directo 0.378049 error relativo 0.587095
 documentos 13 19 jaccard sm 0.51 jaccard directo 0.292585 error relativo 0.74308
 documentos 14 15 jaccard sm 0.45 jaccard directo 0.276074 error relativo 0.629998
 documentos 14 16 jaccard sm 0.59 jaccard directo 0.331288 error relativo 0.780924
 documentos 14 17 jaccard sm 0.56 jaccard directo 0.270378 error relativo 1.07117
 documentos 14 18 jaccard sm 0.48 jaccard directo 0.279762 error relativo 0.715742
 documentos 14 19 jaccard sm 0.52 jaccard directo 0.277662 error relativo 0.872779
 documentos 15 16 jaccard sm 0.48 jaccard directo 0.31068 error relativo 0.544998
 documentos 15 17 jaccard sm 0.49 jaccard directo 0.312871 error relativo 0.566137
 documentos 15 18 jaccard sm 0.51 jaccard directo 0.362525 error relativo 0.406797
 documentos 15 19 jaccard sm 0.52 jaccard directo 0.295316 error relativo 0.760825
 documentos 16 17 jaccard sm 0.58 jaccard directo 0.321839 error relativo 0.80214
 documentos 16 18 jaccard sm 0.59 jaccard directo 0.370079 error relativo 0.594254
 documentos 16 19 jaccard sm 0.52 jaccard directo 0.315476 error relativo 0.6483
 documentos 17 18 jaccard sm 0.52 jaccard directo 0.341176 error relativo 0.524136
 documentos 17 19 jaccard sm 0.47 jaccard directo 0.271484 error relativo 0.73122
 documentos 18 19 jaccard sm 0.57 jaccard directo 0.343558 error relativo 0.659105
total elapsed 0.121 seconds
Candidatos según LSH constantes k 5 r 2 t 0.1
 documentos 0 1 jaccard sm 0.41 jaccard directo 0.247655 error relativo 0.655528
 documentos 0 2 jaccard sm 0.47 jaccard directo 0.296724 error relativo 0.583959
