Para la k 5 la media cuadrada de los errores es: 0.599616
Candidatos según LSH constantes k 5 r 1 t 0.1
 documentos 2 16 jaccard sm 0.4 jaccard directo 0.241953 error relativo 0.65321
 documentos 2 17 jaccard sm 0.33 jaccard directo 0.227062 error relativo 0.453343
 documentos 2 18 jaccard sm 0.38 jaccard directo 0.231924 error relativo 0.638468
 documentos 2 19 jaccard sm 0.44 jaccard directo 0.25055 error relativo 0.756133
 documentos 3 4 jaccard sm 0.35 jaccard directo 0.235551 error relativo 0.485878
 documentos 3 5 jaccard sm 0.38 jaccard directo 0.234025 error relativo 0.623755
 documentos 3 6 jaccard sm 0.35 jaccard directo 0.237689 error relativo 0.47251
 documentos 3 7 jaccard sm 0.38 jaccard directo 0.23777 error relativo 0.598181
 documentos 3 8 jaccard sm 0.39 jaccard directo 0.246259 error relativo 0.583699
 documentos 3 9 jaccard sm 0.33 jaccard directo 0.226271 error relativo 0.458423
 documentos 3 10 jaccard sm 0.35 jaccard directo 0.253363 error relativo 0.381418
 documentos 3 11 jaccard sm 0.43 jaccard directo 0.235548 error relativo 0.825524
 documentos 3 12 jaccard sm 0.36 jaccard directo 0.234544 error relativo 0.534888
 documentos 3 13 jaccard sm 0.35 jaccard directo 0.229325 error relativo 0.526214
 documentos 3 14 jaccard sm 0.38 jaccard directo 0.236428 error relativo 0.607253
 documentos 3 15 jaccard sm 0.33 jaccard directo 0.224831 error relativo 0.467765
 documentos 3 16 jaccard sm 0.34 jaccard directo 0.235964 error relativo 0.440895
 documentos 3 17 jaccard sm 0.37 jaccard directo 0.236568 error relativo 0.56403
 documentos 3 18 jaccard sm 0.36 jaccard directo 0.23605 error relativo 0.525096
 documentos 4 5 jaccard sm 0.36 jaccard directo 0.220043 error relativo 0.636041
 documentos 4 7 jaccard sm 0.37 jaccard directo 0.222073 error relativo 0.666116
 documentos 4 8 jaccard sm 0.43 jaccard directo 0.229824 error relativo 0.870996
 documentos 4 9 jaccard sm 0.44 jaccard directo 0.225588 error relativo 0.950451
 documentos 4 10 jaccard sm 0.41 jaccard directo 0.230027 error relativo 0.782398
 documentos 4 11 jaccard sm 0.36 jaccard directo 0.237813 error relativo 0.513792
 documentos 4 12 jaccard sm 0.4 jaccard directo 0.240846 error relativo 0.660808
 documentos 4 14 jaccard sm 0.33 jaccard directo 0.229715 error relativo 0.43656
 documentos 4 15 jaccard sm 0.41 jaccard directo 0.239804 error relativo 0.709725
 documentos 4 16 jaccard sm 0.43 jaccard directo 0.244632 error relativo 0.757741
 documentos 4 17 jaccard sm 0.32 jaccard directo 0.230122 error relativo 0.390564
 documentos 4 18 jaccard sm 0.41 jaccard directo 0.225641 error relativo 0.817042
 documentos 4 19 jaccard sm 0.39 jaccard directo 0.24064 error relativo 0.620674
 documentos 5 6 jaccard sm 0.38 jaccard directo 0.241531 error relativo 0.573293
 documentos 5 7 jaccard sm 0.36 jaccard directo 0.223181 error relativo 0.613041
 documentos 5 8 jaccard sm 0.38 jaccard directo 0.244643 error relativo 0.553279
 documentos 5 9 jaccard sm 0.38 jaccard directo 0.224059 error relativo 0.695982
 documentos 5 10 jaccard sm 0.38 jaccard directo 0.236152 error relativo 0.609128
 documentos 5 11 jaccard sm 0.36 jaccard directo 0.239319 error relativo 0.504269
 documentos 5 12 jaccard sm 0.35 jaccard directo 0.239001 error relativo 0.46443
